antu-icon-theme-git r103.edf89e7-2
nodejs-uglify-to-browserify 1.0.2-1
nodejs-ultron 1.0.2-1
nodejs-uniq 1.0.1-1
nodejs-unordered-array-remove 1.0.2-1
nodejs-unzip-response 1.0.0-1
nodejs-ut_metadata 3.0.6-1
nodejs-ut_pex 1.1.0-1
nodejs-util-deprecate 1.0.2-1
nodejs-validate-npm-package-license 3.0.1-1
nodejs-void-elements 2.0.1-1
nodejs-webtorrent 0.90.0-1
nodejs-window-size 0.2.0-1
nodejs-with 5.0.0-1
nodejs-wrap-ansi 2.0.0-1
nodejs-wrappy 1.0.1-1
nodejs-ws 1.0.1-1
nodejs-xtend 4.0.1-1
nodejs-y18n 3.2.1-1
nodejs-yargs 4.4.0-1
nodejs-yargs-parser 2.2.0-1
numix-circle-icon-theme-git 0.r3046.8142a6f-1
numix-icon-theme-git 0.r1770.101307f-1
obs-build 2.5.0-1
obs-service-download_files 0.5.1-2
obs-service-download_url 20151031-1
obs-service-format_spec_file 20160202-1
obs-service-source_validator 62c56d3c13eb95c40cadff4d1e036d947c800ad4-1
oneko 1.2.5-4
osc 0.154.0-1
osx-el-capitan-theme 0.7-1
pacaur 4.6.3-1
package-query 1.8-2
packer 20160325-1
packer-io 0.10.0-1
pamac-pacaur 3.2.1-1
pbget 2016.4.4.1-1
pdfjs 1.2.109-2
perl-alien-wxwidgets 0.67-1
perl-config-general 2.58-1
perl-config-inifiles 2.88-2
perl-data-uuid 1.221-1
perl-extutils-xspp 0.18-2
perl-filesys-df 0.92-2
perl-font-ttf 1.05-1
perl-gtk2-ex-simple-list 0.50-2
perl-pdf-api2 2.027-1
perl-sane 0.05-1
perl-set-intspan 1.19-5
perl-wx 0.9928-3
pinball 0.3.1-7
pkgbrowser 0.20-1
plasma5-themes-maia 23235fa-1
pm2ml 2016.4.6-1
prelink 20130503-7
purple-facebook 25-1
python3-aur 2016.4.20-1
python3-memoizedb 2016.4.6-1
python3-xcgf 2016.4.5-1
python3-xcpf 2016.4.5.2-1
qtermwidget-git 0.6.0.48.g10e1796-1
remarkable 1.62-2
rollemup 1.00-4
rpm-org 4.12.0.1-3
ruby-asciidoctor 1.5.4-1
ruby-colorator 0.1-1
ruby-erubis 2.7.0-1
ruby-ffi 1.9.10-1
ruby-jekyll 3.1.2-2
ruby-jekyll-sass-converter 1.4.0-1
ruby-jekyll-watch 1.3.1-1
ruby-kramdown 1.8.0-1
ruby-liquid-3 3.0.6-1
ruby-listen 3.0.5-1
ruby-maruku 0.7.2-3
ruby-mercenary 0.3.5-1
ruby-rb-fsevent 0.9.7-1
ruby-rb-inotify 0.9.7-1
ruby-rouge 1.10.1-1
ruby-safe_yaml 1.0.4-1
ruby-sass 3.4.22-1
ruby-sprockets 3.6.0-1
ruby-sprockets-helpers 1.2.1-1
ruby-sprockets-sass 1.3.1-1
ruby-tilt-1 1.4.1-1
ruby-yard 0.8.7.6-1
runescape-launcher 2.2.2-4
scrub 2.6.1-1
sddm-maia-theme 23235fa-1
shadow-icon-theme 1.7-1
simplistica-icon-theme 1.0-2
spotify 1.0.27.73-1
square-beam-icon-theme 1.0-5
sublime-text 2.0.2-4
super-flat-remix-icon-theme 1.08-2
supertux-old 0.1.3-8
tango-icon-theme 0.8.90-9
textadept 8.6-2
ttf-arphic 2-1
ttf-ms-fonts 2.0-10
ttf-roboto 5:131072-1
uemacs 20141208-1
unix-runescape-client 4.3.5-1
vertex-themes 20160329-2
vibrancy-colors 2.7-1
victory-icon-theme 040305a-1
vim-pathogen-git 2.4.3.g8c91196-1
virt-manager-qt5 0.25.47-2
visual-studio-code 1.0.0-1
vivacious-colors 1.4-1
vundle-git 0.10.2.603.4984767-1
xcursor-chameleon-pearl 0.5-2
xcursor-dmz 0.4.4-2
xcursor-lliurex 20120801-1
yaourt 1.8.1-1
zotero 4.0.29.5-1
